174.2	91.9	1
156	57.6	0
151.7	59.9	0
181.5	107.2	1
169.1	55.6	1
175.6	90.6	1
174.3	73	1
175.4	67.9	1
165.2	72.4	1
174.2	84.1	1
177.3	81.8	1
175.8	76.1	1
183.7	105.2	1
173.6	53.2	1
186.6	71.1	1
169.5	77	1
176.6	68.9	1
179.3	71.7	1
170	74.4	1
171.5	67.2	1
178	65.8	1
174.6	57.8	1
172.7	61.4	1
159.4	49.6	0
185.4	71.7	1
178.3	63.9	1
188	97.8	1
176.5	56.4	1
180.3	82.7	1
175.6	59.3	1
180.6	68.1	1
184.8	68.4	1
185.6	87.4	1
174.4	89.4	1
175.7	61.5	1
171.2	54.4	1
169.1	63.7	1
165.5	59.9	0
175.4	67.2	1
172.6	65.4	1
171.1	67.4	1
180.2	66.8	1
164.2	58.6	1
167.5	67.8	1
170.5	69.9	1
172.4	58.4	1
172.4	69.3	1
164.6	56.6	0
160.8	46.2	0
172.2	83.5	1
178	90.8	1
178.3	90.8	1
163.6	54.9	1
155.5	47.2	0
168.7	51.1	0
172.7	61.1	1
174.3	64	1
175.8	56.8	1
175.8	59.4	1
155.2	47	0
187.2	83.7	1
174.9	88.9	1
175.7	102.4	1
177.3	80.4	1
161.3	53.2	0
166	56.3	0
179.5	94.5	1
173	62.8	1
165.4	50.9	0
170.8	58	0
172.8	59.3	1
176.1	64.1	1
171.4	82.1	1
173.9	68.6	1
175.4	72.6	1
169	57.9	1
178	82.6	1
169.2	57.9	1
173.2	88.9	1
163.3	69.7	1
171.5	55	1
166.8	57.6	0
173.6	70.2	1
177.3	56.2	1
171.5	62.9	1
175.4	73.7	1
168.9	57.8	1
159	50.3	0
170.5	72.7	1
177.1	64.2	1
161.9	53.7	0
162.7	50.4	0
158.4	52.5	0
165.3	73.1	0
178.1	76.3	1
179.5	56	1
169.7	79.3	1
162	52.3	0
173.9	61.6	1
178.1	81.1	1
166	60.1	1
180.5	83	1
165.8	54.1	0
172.5	60.8	0
173.9	63.9	0
167.6	63.7	1
179.8	75.4	1
173.1	72.4	1
173.3	57.5	0
167.3	52.4	0
163.4	52.4	0
163.4	48	0
170.2	69	1
162	59.9	1
170.5	55.5	0
173.8	55.1	0
168.4	68.3	0
186.8	68	1
181.1	77.8	1
175.7	57.8	1
174.2	80.9	1
170.3	83.1	1
166.5	58	0
165.7	47.5	0
158.2	47.8	0
182.7	93.9	1
178.6	81.7	1
159.2	49.2	0
163.1	53	0
165	53.3	0
174.7	58.8	1
175.5	74.4	1
174.7	69.4	1
175.1	74.5	1
162	55.2	0
159.5	50.3	0
173.2	62	1
166.1	52.9	0
164.9	52.6	0
163.4	52.6	0
162.2	47.1	0
170.9	61.8	1
168.2	83.8	1
166.8	59	1
174.2	91.9	1
167.9	61.6	1
177.5	79.3	1
182.6	68.3	1
177.2	58.5	1
176.9	69.9	1
175	57.7	1
180.1	75	1
168	61.1	1
183	66.4	1
169.9	54	0
164.1	60.3	0
169.6	53.9	0
167.6	62.5	0
159.4	46.5	0
167.8	54.9	0
166.2	55.4	0
156.8	52.1	0
152.8	48.1	0
167.7	56.2	0
173.9	62.7	1
155.9	52.1	0
163.9	52.5	0
161	60.9	0
154.1	47.1	0
163.6	54.6	0
161.8	59.6	0
166.7	62.5	0
156.1	45.6	0
159	47.6	0
161.5	60.8	0
164.6	60.4	0
179.2	75.9	1
177.8	74.6	1
172.6	63.9	1
172.4	64.3	1
174.3	57.8	1
182	85.2	1
174.9	78.2	1
168.9	64.8	1
168.7	72.4	1
164.9	59.2	1
169.1	58.5	1
168.1	58.5	0
180.1	63.3	1
172.4	67.4	1
173.2	64.8	1
165.5	60.2	0
167.8	56.9	1
163.8	53.4	0
160.7	59.3	0
177.1	86.7	1
167.7	59.3	1
172.4	71.2	1
178	89.9	1
166.4	51.2	0
170.4	53.6	0
168.7	67.5	1
178.4	72.2	1
168.8	67.4	1
173.3	67.5	1
161.4	65.6	0
178	63	1
163.4	65.3	1
163.6	64.8	1
156.9	48.1	0
159	51.8	0
154.4	55.2	0
180.3	58.3	1
169.7	57.5	1
157.2	49.6	0
166.5	51.6	0
168.2	52.5	0
167.5	54.2	1
179	68.9	1
164.4	53.8	1
173	55.5	1
170.4	81	1
176.5	60.1	1
162	50.4	0
186	79.4	1
165.5	75.5	1
178.9	63.1	1
171.9	83.1	1
180.5	77.5	1
169.2	74.9	1
172.8	70.9	1
169.9	83.9	1
168.7	74.8	1
179.7	78.4	1
182.6	76.2	1
185.7	85.9	1
182.8	77.6	1
176.5	74.7	1
170.2	73.1	1
168.5	58.1	0
155.3	39.3	0
171.6	61.1	1
160.8	56.3	0
166.6	57.8	0
169.3	65.2	1
178	68.5	1
168.2	67.4	1
166.5	57.7	1
171.5	80.8	1
164.1	51.7	0
172.8	74.5	1
173.3	68.8	1
166.3	60.6	1
171.7	57.5	0
169.1	60.3	0
156.3	53.2	0
162.6	47.7	0
162.1	51.3	0
165.9	58.1	0
168.7	67.8	1
